countryname,ISO3,report_date,GDP_USD,GDP_deflator,cons_GDP,inv_GDP,exports_GDP,imports_GDP,USDfx,REER,govexp_GDP,govrev_GDP,govtax_GDP,govdef_GDP,govdebt_GDP,HPI,CPI,infl,pop,unemp,strate,ltrate,cbrate
United States,USA,2000,13717675,72.722275,80.03907,23.677999,10.692775,14.410213,1,119.46551,17.926531,34.626873,21.631308,0.32740372,33.267643,79.512299,78.959625,3.3768539,282.29599,3.967,6.4558334,6.0291667,6.5
United States,USA,2001,13848760,74.359703,81.383575,22.177,9.7034521,13.263735,1,126.22862,32.800999,32.257,20.5709,-0.54400003,53.146,85.8302,81.183624,2.8261716,285.216,4.7420001,3.6866667,5.0174999,1.75
United States,USA,2002,14084240,75.515282,82.300949,21.723,9.1313925,13.154999,1,125.92088,33.698002,29.877001,18.388994,-3.8210001,55.537998,93.8256,82.479042,1.5860344,288.01901,5.783,1.7258333,4.6108332,1.25
United States,USA,2003,14478004,77.006119,82.810364,21.746,9.0356522,13.591645,1,117.99738,34.036999,29.266001,17.950779,-4.7709999,58.625,103.9228,84.374252,2.2700942,290.733,5.9920001,1.1508334,4.0149999,1
United States,USA,2004,15035089,79.076721,82.538414,22.652,9.6287642,14.819309,1,112.40214,33.719002,29.476,18.262947,-4.244,66.105003,119.883,86.624847,2.6772385,293.38901,5.5419998,1.5633334,4.2741666,2.25
United States,USA,2005,15558819,81.556419,82.298729,23.375999,9.9820538,15.656501,1,110.84108,33.928001,30.853001,19.720976,-3.075,65.453003,137.97839,89.540802,3.3927453,296.11499,5.0830002,3.5116668,4.29,4.25
United States,USA,2006,15992069,84.071526,82.154976,23.538,10.641376,16.333897,1,109.92679,33.692001,31.656,20.455193,-2.036,64.189003,138.51019,92.425575,3.2259417,298.92999,4.6079998,5.1533332,4.7916665,5.25
United States,USA,2007,16312530,86.349251,82.526863,22.556999,11.463772,16.548225,1,104.89256,34.562,31.649,20.458811,-2.9130001,64.584999,125.2461,95.078773,2.8526783,301.90302,4.6170001,5.2683334,4.6291666,4.25
United States,USA,2008,16331069,88.012695,83.9786,21.037001,12.425854,17.441944,1,100.44154,37.144001,30.532,19.345251,-6.612,73.431,104.1455,98.705956,3.8391004,304.71799,5.8000002,2.9649999,3.6666667,0.125
United States,USA,2009,15910299,88.555504,85.126335,17.768999,10.932232,13.827309,1,104.69635,41.398998,28.222,16.677923,-13.177,86.598,101.9929,98.390007,-0.35554907,307.37399,9.283,0.55583334,3.2566667,0.125
United States,USA,2010,16339123,89.631783,84.864967,18.672001,12.341352,15.878528,1,100,39.763,28.77,17.275175,-10.993,95.162003,98.373199,100,1.6400398,309.737,9.6079998,0.31166667,3.2141666,0.125
United States,USA,2011,16594698,91.48111,84.682022,19.034,13.56347,17.279015,1,95.008545,38.796001,29.08,18.3307,-9.7159996,99.498001,97.492401,103.13973,3.1568465,311.944,8.9329996,0.30333334,2.7858334,0.125
United States,USA,2012,16974596,93.184425,83.443016,19.951,13.644068,17.037788,1,97.369949,37.223,29.108999,18.499683,-8.1140003,103.065,105.2048,105.27798,2.0693307,314.16699,8.0749998,0.2825,1.8025,0.125
United States,USA,2013,17334080,94.770432,82.455063,20.379,13.553498,16.387814,1,97.556343,35.782001,31.222,19.31057,-4.5609999,104.343,115.656,106.82147,1.4648376,316.33099,7.3579998,0.16666667,2.3508334,0.125
United States,USA,2014,17771538,96.421059,81.988945,20.900999,13.508224,16.398355,1,99.195908,35.324001,31.298,19.670313,-4.026,104.242,121.4196,108.54702,1.6222241,318.61899,6.158,0.12416667,2.5408332,0.125
United States,USA,2015,18295000,97.315903,81.450729,21.415001,12.411161,15.277065,1,109.90573,35.030998,31.500999,19.935579,-3.53,104.661,128.0575,108.67863,0.11862505,320.92599,5.2750001,0.22666667,2.1358333,0.375
United States,USA,2016,18627894,98.240616,81.788322,20.888,11.888167,14.564439,1,114.56821,35.333,30.976999,19.581335,-4.3559999,106.582,135.02119,110.05567,1.2615814,323.22101,4.875,0.64416665,1.8416667,0.625
